Rank,Player,Position,Nation Code,Nation,Club,Age,Born,Matches Played,Starts,Minutes Played,90s Played,Goals,Assists,Goals + Assists,Non-Penalty Goals,Penalties Scored,Penalties Attempted,Yellow Cards,Red Cards,Goals per 90,Assists per 90,G+A per 90,Shots,Shots on Target,Tackles Won,Interceptions,Score,Dream XI
75,Maxim De Cuyper,DF,be,Belgium,Brighton,25,2000,6,5,442,4.9,0,0,0,0,0,0,1,0,0.0,0.0,0.0,10,6,2,6,0.313,No
76,Rodri,MF,es,Spain,Manchester City,30,1996,7,7,626,7.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,7,0,20,3,0.3107,No
77,Matías Galarza,MF,py,Paraguay,Atlanta Utd,24,2002,4,4,388,4.3,1,1,2,1,0,0,2,0,0.23,0.23,0.46,2,1,11,7,0.3103,No
78,Mbekezeli Mbokazi,DF,za,South Africa,Chicago Fire,20,2005,4,4,360,4.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,4,1,5,4,0.31,No
79,Jonathan David,FW,ca,Canada,Juventus,26,2000,5,5,420,4.7,3,0,3,3,0,0,1,0,0.64,0.0,0.64,18,8,1,3,0.3087,No
80,Jorge Sánchez,DF,mx,Mexico,PAOK,28,1997,4,4,348,3.9,0,1,1,0,0,0,1,0,0.0,0.26,0.26,1,1,4,5,0.3074,No
81,Emmanuel Agbadou,DF,ci,Côte d'Ivoire,Beşiktaş,29,1997,3,3,270,3.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,3,1,6,4,0.3064,No
82,Martin Expérience,DFMF,ht,Haiti,Nancy,27,1999,3,3,270,3.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,1,0,6,4,0.3064,No
83,Sherel Floranus,DF,cw,Curaçao,Zwolle,27,1998,3,3,270,3.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,2,0,6,4,0.3064,No
84,Aubrey Modiba,DF,za,South Africa,Sundowns,30,1995,4,4,346,3.8,0,0,0,0,0,0,1,0,0.0,0.0,0.0,5,1,5,4,0.306,No
85,Abdallah Nasib,DF,jo,Jordan,Al-Zawra'a SC,32,1994,3,3,260,2.9,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,3,7,0.306,No
86,Florian Wirtz,MF,de,Germany,Liverpool,23,2003,4,4,361,4.0,0,3,3,0,0,0,0,0,0.0,0.75,0.75,10,1,6,2,0.3056,No
87,Leandro Trossard,MFFW,be,Belgium,Arsenal,31,1994,6,6,506,5.6,2,2,4,2,0,0,0,0,0.36,0.36,0.71,17,3,1,4,0.305,No
88,Deniz Undav,FW,de,Germany,Stuttgart,29,1996,4,1,151,1.7,3,2,5,3,0,0,0,0,1.79,1.19,2.98,6,4,0,0,0.3041,No
89,Piero Hincapié,DF,ec,Ecuador,Arsenal,24,2002,4,4,339,3.8,0,0,0,0,0,0,1,1,0.0,0.0,0.0,3,0,5,4,0.3039,No
90,Raúl Jiménez,FW,mx,Mexico,Fulham,35,1991,4,4,317,3.5,3,0,3,2,1,1,0,0,0.85,0.0,0.85,18,7,1,0,0.3022,No
91,Alan Franco,DF,ec,Ecuador,Atlético Mineiro,27,1998,4,4,251,2.8,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0,0,6,4,0.3009,No
92,Jhon Lucumí,DF,co,Colombia,Bologna,28,1998,5,5,478,5.3,0,0,0,0,0,0,1,0,0.0,0.0,0.0,2,0,2,5,0.3001,No
93,João Cancelo,DF,pt,Portugal,Barcelona,32,1994,5,5,312,3.5,0,1,1,0,0,0,0,0,0.0,0.29,0.29,3,0,4,5,0.2969,No
94,Cody Gakpo,FW,nl,Netherlands,Liverpool,27,1999,4,4,368,4.1,3,1,4,3,0,0,0,0,0.73,0.24,0.98,10,6,1,2,0.2967,No
95,Charles De Ketelaere,FWMF,be,Belgium,Atalanta,25,2001,5,5,350,3.9,3,1,4,3,0,0,0,0,0.77,0.26,1.03,6,5,4,5,0.2965,No
96,Bukayo Saka,MF,eng,England,Arsenal,24,2001,6,2,268,3.0,0,3,3,0,0,0,0,0,0.0,1.01,1.01,13,7,7,1,0.2954,No
97,Jesús Gallardo,DF,mx,Mexico,Toluca,31,1994,5,4,373,4.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,4,0,1,7,0.2938,No
98,Renato Veiga,DF,pt,Portugal,Villarreal,22,2003,5,5,450,5.0,0,0,0,0,0,0,2,0,0.0,0.0,0.0,2,0,1,6,0.2928,No
99,Aurélien Tchouaméni,MF,fr,France,Real Madrid,26,2000,4,4,360,4.0,0,1,1,0,0,0,1,0,0.0,0.25,0.25,3,0,14,6,0.2921,No
100,Fredrik Aursnes,MFDF,no,Norway,Benfica,30,1995,6,3,304,3.4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,2,0,8,1,0.2913,No
101,Ramy Rabia,DF,eg,Egypt,Al Ain,33,1993,5,3,372,4.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,1,1,5,3,0.2902,No
102,Malik Tillman,MF,us,United States,Leverkusen,24,2002,5,4,356,4.0,2,1,3,2,0,0,1,0,0.51,0.25,0.76,8,4,7,5,0.2899,No
103,Luc De Fougerolles,DF,ca,Canada,Fulham,20,2005,5,4,372,4.1,0,0,0,0,0,0,2,0,0.0,0.0,0.0,3,1,6,2,0.2894,No
104,Rúben Dias,DF,pt,Portugal,Manchester City,29,1997,4,4,360,4.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0,0,3,5,0.2884,No
105,Ivan Perišić,MFDF,hr,Croatia,PSV,37,1989,4,4,360,4.0,1,1,2,1,0,0,2,0,0.25,0.25,0.5,2,2,4,4,0.2875,No
106,Ismaila Sarr,MFFW,sn,Senegal,Crystal Palace,28,1998,4,4,364,4.0,4,1,5,4,0,0,0,0,0.99,0.25,1.24,17,6,1,2,0.286,No
107,Konrad Laimer,MFDF,at,Austria,Bayern Munich,29,1997,4,4,360,4.0,0,1,1,0,0,0,1,0,0.0,0.25,0.25,1,0,6,2,0.2859,No
108,Roberto Alvarado,FWMF,mx,Mexico,Guadalajara,27,1998,5,5,428,4.8,0,3,3,0,0,0,0,0,0.0,0.63,0.63,5,0,3,2,0.2853,No
109,Joshua Kimmich,DF,de,Germany,Bayern Munich,31,1995,4,4,351,3.9,0,2,2,0,0,0,0,0,0.0,0.51,0.51,5,1,4,4,0.2849,No
110,Lee Gi-hyuk,DF,kr,Korea Republic,Gangwon FC,26,2000,3,3,270,3.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0,0,4,5,0.2848,No
111,Mohamed Amine Ben Hamida,DF,tn,Tunisia,Espérance Tunis,30,1995,3,2,202,2.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,9,1,0.2842,No
112,Tarik Muharemovic,DF,ba,Bosnia–Herz,Sassuolo,23,2003,3,3,259,2.9,0,0,0,0,0,0,0,1,0.0,0.0,0.0,1,0,1,8,0.2841,No
113,Lautaro Martínez,FW,ar,Argentina,Inter,28,1997,7,4,310,3.4,3,1,4,2,1,1,1,0,0.87,0.29,1.16,10,4,1,1,0.2836,No
114,Ahmed Fatouh,DF,eg,Egypt,Zamalek SC,28,1998,3,3,267,3.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,1,1,5,4,0.283,No
115,Rustam Ashurmatov,DF,uz,Uzbekistan,Esteghlal,30,1996,3,3,256,2.8,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,2,7,0.2824,No
116,Gabriel Gudmundsson,MFDF,se,Sweden,Leeds United,27,1999,4,4,330,3.7,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0,0,3,5,0.2797,No
