Rank,Player,Position,Nation Code,Nation,Club,Age,Born,Matches Played,Starts,Minutes Played,90s Played,Goals,Assists,Goals + Assists,Non-Penalty Goals,Penalties Scored,Penalties Attempted,Yellow Cards,Red Cards,Goals per 90,Assists per 90,G+A per 90,Shots,Shots on Target,Tackles Won,Interceptions,Score,Dream XI
211,Arthur Masuaku,DF,cd,Congo DR,Lens,32,1993,4,4,315,3.5,0,1,1,0,0,0,0,0,0.0,0.29,0.29,0,0,5,0,0.2036,No
212,Luis Romo,MF,mx,Mexico,Guadalajara,31,1995,4,4,264,2.9,1,1,2,1,0,0,0,0,0.34,0.34,0.68,3,1,4,4,0.2023,No
213,Nicolas Pépé,FW,ci,Côte d'Ivoire,Villarreal,31,1995,4,3,234,2.6,2,1,3,2,0,0,1,0,0.77,0.38,1.15,6,3,0,3,0.2013,No
214,Steven Moreira,DF,cv,Cabo Verde,Columbus Crew,31,1994,4,3,301,3.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,2,0,3,2,0.2012,No
215,Rodrigo De Paul,MF,ar,Argentina,Inter Miami,32,1994,6,5,422,4.7,0,1,1,0,0,0,1,0,0.0,0.21,0.21,2,1,4,6,0.2011,No
216,Joel Ordóñez,DF,ec,Ecuador,Club Brugge,22,2004,3,3,225,2.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,2,0,5,1,0.2009,No
217,Riyad Mahrez,MF,dz,Algeria,Al-Ahli,35,1991,4,3,262,2.9,2,1,3,2,0,0,0,0,0.69,0.34,1.03,6,3,2,1,0.1995,No
218,Hassan Al Tambakti,DF,sa,Saudi Arabia,Al-Hilal,27,1999,3,3,212,2.4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,3,3,0.1987,No
219,Jonathan Tah,DF,de,Germany,Bayern Munich,30,1996,4,4,372,4.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,1,1,3,1,0.1985,No
220,Joris Kayembe,DFFW,cd,Congo DR,Genk,31,1994,4,0,45,0.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,1,0,4,4,0.1961,No
221,Milad Mohammadi,DF,ir,IR Iran,Persepolis,32,1993,3,2,205,2.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,1,1,4,2,0.1959,No
222,David Alaba,DF,at,Austria,Real Madrid,34,1992,4,4,275,3.1,0,1,1,0,0,0,0,0,0.0,0.33,0.33,2,0,1,4,0.1954,No
223,Jhon Arias,MF,co,Colombia,Palmeiras,28,1997,5,5,377,4.2,1,0,1,1,0,0,1,0,0.24,0.0,0.24,9,4,9,2,0.1954,No
224,Chancel Mbemba,DF,cd,Congo DR,Lille,31,1994,4,4,360,4.0,0,1,1,0,0,0,1,0,0.0,0.25,0.25,1,0,3,1,0.195,No
225,Yan Diomandé,MFFW,ci,Côte d'Ivoire,RB Leipzig,19,2006,4,4,329,3.7,0,1,1,0,0,0,0,0,0.0,0.27,0.27,4,0,6,4,0.1943,No
226,Elijah Just,MF,nz,New Zealand,Motherwell,26,2000,3,3,264,2.9,3,0,3,3,0,0,1,0,1.02,0.0,1.02,7,5,3,2,0.194,No
227,Finn Surman,DF,nz,New Zealand,Portland Timbers,22,2003,3,3,270,3.0,1,0,1,1,0,0,0,0,0.33,0.0,0.33,2,1,1,4,0.1939,No
228,Lee Han-beom,DF,kr,Korea Republic,Midtjylland,24,2002,3,3,270,3.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,2,0,2,3,0.1931,No
229,João Paulo Fernandes,DF,cv,Cabo Verde,FCSB,28,1998,2,1,105,1.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,2,0,1,6,0.1927,No
230,Granit Xhaka,MF,ch,Switzerland,Sunderland,33,1992,6,6,600,6.7,1,0,1,0,1,1,2,0,0.15,0.0,0.15,9,2,4,4,0.1911,No
231,Declan Rice,MF,eng,England,Arsenal,27,1999,6,6,467,5.2,0,1,1,0,0,0,2,0,0.0,0.19,0.19,6,3,3,5,0.191,No
232,Micky van de Ven,DFMF,nl,Netherlands,Tottenham,25,2001,3,3,265,2.9,0,0,0,0,0,0,1,0,0.0,0.0,0.0,3,1,3,2,0.1908,No
233,João Neves,MF,pt,Portugal,PSG,21,2004,5,4,390,4.3,1,0,1,1,0,0,0,0,0.23,0.0,0.23,3,1,7,4,0.1906,No
234,Remo Freuler,MF,ch,Switzerland,Bologna,34,1992,6,6,592,6.6,0,0,0,0,0,0,0,0,0.0,0.0,0.0,2,1,5,8,0.1891,No
235,Ibrahim Sangaré,MF,ci,Côte d'Ivoire,Nottingham,28,1997,4,3,268,3.0,0,1,1,0,0,0,0,0,0.0,0.34,0.34,1,0,5,6,0.1888,No
236,Yan Valery,DF,tn,Tunisia,Young Boys,27,1999,3,3,251,2.8,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,1,4,0.1884,No
237,Jean-Kevin Duverne,DF,ht,Haiti,Gent,29,1997,2,2,169,1.9,0,1,1,0,0,0,0,0,0.0,0.53,0.53,1,0,2,4,0.1871,No
238,Rafik Belghali,DF,dz,Algeria,Hellas Verona,24,2002,4,4,331,3.7,1,0,1,1,0,0,0,0,0.27,0.0,0.27,3,1,3,1,0.1866,No
239,Yasin Ayari,MF,se,Sweden,Brighton,22,2003,4,4,339,3.8,2,0,2,2,0,0,1,0,0.53,0.0,0.53,7,3,4,3,0.1841,No
240,Kaishū Sano,MF,jp,Japan,Mainz 05,25,2000,3,3,270,3.0,1,1,2,1,0,0,1,0,0.33,0.33,0.67,1,1,2,4,0.1832,No
241,Hamdy Fathy,DFMF,eg,Egypt,Al-Wakrah,31,1994,4,3,238,2.6,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0,0,3,2,0.183,No
242,Cyle Larin,FW,ca,Canada,Mallorca,31,1995,4,2,190,2.1,2,0,2,2,0,0,2,0,0.95,0.0,0.95,9,4,0,0,0.1825,No
243,Casemiro,MF,br,Brazil,Manchester Utd,34,1992,5,5,379,4.2,1,0,1,1,0,0,2,0,0.24,0.0,0.24,4,2,5,6,0.1824,No
244,Noor Al Rawabdeh,MF,jo,Jordan,Selangor FA,29,1997,3,3,270,3.0,0,1,1,0,0,0,0,0,0.0,0.33,0.33,1,0,7,2,0.1824,No
245,Hwang In-beom,MF,kr,Korea Republic,Feyenoord,29,1996,3,3,263,2.9,1,1,2,1,0,0,0,0,0.34,0.34,0.68,4,2,2,4,0.1822,No
246,Julio Enciso,FW,py,Paraguay,Strasbourg,22,2004,5,5,386,4.3,1,2,3,1,0,0,0,0,0.23,0.47,0.7,8,1,5,1,0.1818,No
247,Weston McKennie,MF,us,United States,Juventus,27,1998,5,5,443,4.9,0,0,0,0,0,0,1,0,0.0,0.0,0.0,5,1,7,7,0.1808,No
248,Carlens Arcus,MFDF,ht,Haiti,Angers,30,1996,3,2,146,1.6,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0,0,3,3,0.1796,No
249,Liberato Cacace,DF,nz,New Zealand,Wrexham,25,2000,3,3,220,2.4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,1,1,2,3,0.1786,No
250,Keito Nakamura,MF,jp,Japan,Reims,25,2000,4,4,307,3.4,1,1,2,1,0,0,0,0,0.29,0.29,0.59,5,2,3,1,0.1786,No
251,Kevin Pina,MF,cv,Cabo Verde,Krasnodar,29,1997,4,4,349,3.9,1,0,1,1,0,0,1,0,0.26,0.0,0.26,5,1,7,3,0.178,No
252,Gustavo Puerta,MF,co,Colombia,Racing Sant,22,2003,5,5,469,5.2,0,1,1,0,0,0,1,0,0.0,0.19,0.19,14,5,3,3,0.1779,No
253,Gonzalo Montiel,DF,ar,Argentina,River Plate,29,1997,5,1,135,1.5,0,1,1,0,0,0,1,0,0.0,0.67,0.67,1,0,3,3,0.1764,No
254,Emam Ashour,MF,eg,Egypt,Al Ahly,28,1998,5,5,362,4.0,2,0,2,2,0,0,0,0,0.5,0.0,0.5,10,2,2,4,0.1741,No
255,Anass Salah-Eddine,DF,ma,Morocco,PSV,24,2002,4,2,212,2.4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,1,0,5,0,0.1737,No
256,Luis Díaz,FWMF,co,Colombia,Bayern Munich,29,1997,5,5,478,5.3,1,1,2,1,0,0,0,0,0.19,0.19,0.38,19,6,0,1,0.1734,No
257,Johan Vásquez,DF,mx,Mexico,Genoa,27,1998,4,4,360,4.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,1,0,1,2,0.1734,No
258,Marwan Attia,MF,eg,Egypt,Al Ahly,27,1998,5,4,434,4.8,0,1,1,0,0,0,2,0,0.0,0.21,0.21,4,0,3,3,0.1728,No
259,Axel Tuanzebe,DF,cd,Congo DR,Burnley,28,1997,4,4,360,4.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,2,1,0.1725,No
260,Juan Manuel Sanabria,DF,uy,Uruguay,Atlético San Luis,26,2000,3,2,204,2.3,0,0,0,0,0,0,1,0,0.0,0.0,0.0,3,0,4,1,0.1723,No
261,Maxi Araújo,FWMF,uy,Uruguay,Sporting CP,26,2000,3,3,250,2.8,2,1,3,2,0,0,0,0,0.72,0.36,1.08,4,3,0,0,0.1711,No
262,Bruno Fernandes,MF,pt,Portugal,Manchester Utd,31,1994,5,5,422,4.7,0,1,1,0,0,0,0,0,0.0,0.21,0.21,9,3,5,0,0.1711,No
263,Xaver Schlager,MF,at,Austria,RB Leipzig,28,1997,4,4,238,2.6,0,1,1,0,0,0,0,0,0.0,0.38,0.38,1,0,3,7,0.1711,No
264,Frenkie de Jong,MF,nl,Netherlands,Barcelona,29,1997,4,4,328,3.6,0,0,0,0,0,0,0,0,0.0,0.0,0.0,1,0,7,8,0.1708,No
265,Moteb Al-Harbi,DF,sa,Saudi Arabia,Al-Hilal,26,2000,3,2,188,2.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,1,4,0.1701,No
266,Sander Berge,MF,no,Norway,Fulham,28,1998,5,5,480,5.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,4,9,0.1695,No
267,Michael Amir Murillo,DFMF,pa,Panama,Beşiktaş,30,1996,3,3,270,3.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,5,1,3,1,0.1689,No
268,José Córdoba,DF,pa,Panama,Norwich City,25,2001,3,3,270,3.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,3,1,0.1689,No
269,Ladislav Krejčí,DF,cz,Czechia,Wolves,27,1999,3,3,270,3.0,1,0,1,1,0,0,1,0,0.33,0.0,0.33,5,1,3,1,0.1689,No
270,Nathan Patterson,DF,sct,Scotland,Everton,24,2001,3,2,185,2.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,2,3,0.1684,No
271,Abdulla Abdullaev,DF,uz,Uzbekistan,Dibba Al Fujairah,28,1997,2,2,180,2.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,2,3,0.167,No
272,Lucas Paquetá,MF,br,Brazil,Flamengo,28,1997,4,4,233,2.6,0,1,1,0,0,0,0,0,0.0,0.39,0.39,5,1,4,5,0.167,No
273,Omar Rekik,DF,tn,Tunisia,NK Maribor,24,2001,2,2,180,2.0,1,0,1,1,0,0,0,0,0.5,0.0,0.5,1,1,2,3,0.167,No
274,Petar Sučić,MFFW,hr,Croatia,Inter,22,2003,4,3,289,3.2,1,1,2,1,0,0,1,0,0.31,0.31,0.62,3,2,2,1,0.166,No
275,Deroy Duarte,MF,cv,Cabo Verde,Ludogorets,27,1999,4,2,264,2.9,1,0,1,1,0,0,0,0,0.34,0.0,0.34,3,2,5,6,0.1657,No
276,Joshua Brenet,DF,cw,Curaçao,Kayserispor,32,1994,2,2,179,2.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,4,1,0.165,No
277,Stephen Eustáquio,MF,ca,Canada,Porto,29,1996,5,4,392,4.4,1,0,1,1,0,0,0,0,0.23,0.0,0.23,4,1,5,3,0.1642,No
278,Diego Gómez,MF,py,Paraguay,Brighton,23,2003,4,4,304,3.4,0,0,0,0,0,0,2,0,0.0,0.0,0.0,6,0,6,9,0.164,No
279,Iliman Ndiaye,FW,sn,Senegal,Everton,26,2000,3,1,114,1.3,1,2,3,1,0,0,0,0,0.79,1.58,2.37,3,2,0,2,0.1639,No
280,Silvan Widmer,DF,ch,Switzerland,Mainz 05,33,1993,5,1,175,1.9,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,4,1,0.1638,No
281,Kim Min-jae,DF,kr,Korea Republic,Bayern Munich,29,1996,3,3,245,2.7,0,0,0,0,0,0,0,0,0.0,0.0,0.0,1,1,2,2,0.1625,No
282,Rayan,FWMF,br,Brazil,Bournemouth,19,2006,4,3,288,3.2,0,1,1,0,0,0,0,0,0.0,0.31,0.31,5,2,4,3,0.1617,No
283,Ryan Mendes,FWMF,cv,Cabo Verde,76 Iğdır Belediyespor,36,1990,4,4,330,3.7,0,1,1,0,0,0,0,0,0.0,0.27,0.27,6,0,2,5,0.1611,No
284,Oğuz Aydın,DF,tr,Türkiye,Fenerbahçe,25,2000,1,1,89,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,6,0,0.1605,No
285,César Montes,DF,mx,Mexico,Loko Moscow,29,1997,4,4,314,3.5,0,0,0,0,0,0,0,1,0.0,0.0,0.0,1,1,1,2,0.16,No
286,Daichi Kamada,MF,jp,Japan,Crystal Palace,29,1996,4,4,329,3.7,2,0,2,2,0,0,1,0,0.55,0.0,0.55,3,2,3,1,0.1593,No
287,Maxence Lacroix,DF,fr,France,Crystal Palace,26,2000,2,1,151,1.7,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,2,3,0.1585,No
288,Ali Lajami,DF,sa,Saudi Arabia,Al-Hilal,30,1996,3,1,149,1.7,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,2,3,0.158,No
289,Jonas Adjetey,DF,gh,Ghana,Wolfsburg,22,2003,3,3,225,2.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,2,1,3,1,0.1559,No
290,Tim Payne,DF,nz,New Zealand,Wellington,32,1994,3,3,224,2.5,0,1,1,0,0,0,0,0,0.0,0.4,0.4,1,0,3,1,0.1556,No
291,Houssem Aouar,MF,dz,Algeria,Al-Ittihad,28,1998,3,2,173,1.9,0,2,2,0,0,0,0,0,0.0,1.04,1.04,3,1,1,0,0.155,No
292,Amad Diallo,MFFW,ci,Côte d'Ivoire,Manchester Utd,24,2002,4,2,185,2.1,2,0,2,2,0,0,0,0,0.97,0.0,0.97,8,4,4,2,0.155,No
293,Ismail Jakobs,DF,sn,Senegal,Galatasaray,26,1999,3,2,219,2.4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,1,0,2,2,0.1549,No
294,Musa Al-Taamari,FW,jo,Jordan,Rennes,29,1997,3,2,215,2.4,1,1,2,1,0,0,0,0,0.42,0.42,0.84,8,3,0,0,0.1548,No
295,Azzedine Ounahi,MF,ma,Morocco,Girona,26,2000,6,5,435,4.8,2,0,2,2,0,0,1,0,0.41,0.0,0.41,5,3,1,1,0.1547,No
296,Livano Comenencia,MF,cw,Curaçao,Zürich,22,2004,3,3,233,2.6,1,0,1,1,0,0,1,0,0.39,0.0,0.39,5,2,1,11,0.1545,No
297,Nico Schlotterbeck,DF,de,Germany,Dortmund,26,1999,2,2,135,1.5,1,0,1,1,0,0,0,0,0.67,0.0,0.67,2,2,2,3,0.1539,No
298,Theo Hernández,DF,fr,France,Al-Hilal,28,1997,4,2,212,2.4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,3,0,1,3,0.1537,No
299,Erik Lira,MF,mx,Mexico,Cruz Azul,26,2000,4,4,345,3.8,0,1,1,0,0,0,0,0,0.0,0.26,0.26,0,0,3,2,0.1533,No
300,Isak Hien,DF,se,Sweden,Atalanta,27,1999,3,3,216,2.4,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0,0,3,1,0.1532,No
301,Tyler Adams,MF,us,United States,Bournemouth,27,1999,4,4,341,3.8,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0,0,5,8,0.1527,No
302,Sadio Mané,MFFW,sn,Senegal,Al-Nassr,34,1992,4,4,362,4.0,0,1,1,0,0,0,0,0,0.0,0.25,0.25,6,3,2,3,0.1524,No
303,Leandro Paredes,MF,ar,Argentina,Boca Juniors,32,1994,6,4,398,4.4,0,0,0,0,0,0,1,0,0.0,0.0,0.0,4,1,6,5,0.151,No
304,Israel Reyes,DF,mx,Mexico,América,26,2000,4,2,202,2.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,2,0,1,3,0.1508,No
305,Marcel Sabitzer,MF,at,Austria,Dortmund,32,1994,4,4,360,4.0,1,0,1,1,0,0,1,0,0.25,0.0,0.25,5,2,2,6,0.1496,No
306,Hiroki Ito,DF,jp,Japan,Bayern Munich,27,1999,4,4,360,4.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,1,0,2,0,0.1492,No
307,Sebastián Cáceres,DF,uy,Uruguay,América,26,1999,3,3,270,3.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,3,0,1,2,0.1473,No
308,Vladimír Coufal,MFDF,cz,Czechia,Hoffenheim,33,1992,3,3,270,3.0,0,1,1,0,0,0,0,0,0.0,0.33,0.33,1,0,1,2,0.1473,No
309,Akam Hashim,DF,iq,Iraq,Al-Zawra'a SC,27,1998,3,3,270,3.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,1,0,1,2,0.1473,No
310,Marko Arnautović,FW,at,Austria,Red Star,37,1989,4,1,144,1.6,2,0,2,1,1,1,1,0,1.25,0.0,1.25,3,3,0,0,0.1467,No
311,Thomas Meunier,DF,be,Belgium,Lille,34,1991,3,2,190,2.1,0,1,1,0,0,0,0,0,0.0,0.47,0.47,2,1,2,2,0.1465,No
312,Connor Metcalfe,MF,au,Australia,St Pauli,26,1999,4,3,315,3.5,1,0,1,1,0,0,0,0,0.29,0.0,0.29,5,2,5,2,0.1464,No
313,Jerome Opoku,DF,gh,Ghana,Başakşehir,27,1998,3,3,270,3.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,2,1,0.1464,No
314,Marin Pongračić,DF,hr,Croatia,Fiorentina,28,1997,3,3,270,3.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,1,0,3,0,0.1456,No
315,Ghislain Konan,DF,ci,Côte d'Ivoire,Gil Vicente FC,30,1995,3,3,269,3.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,4,0,3,0,0.1453,No
316,Auston Trusty,DF,us,United States,Celtic,27,1998,2,1,101,1.1,1,0,1,1,0,0,0,0,0.89,0.0,0.89,3,2,1,4,0.1449,No
317,Sebastian Berhalter,MF,us,United States,Vancouver,25,2001,5,1,187,2.1,1,1,2,1,0,0,1,0,0.48,0.48,0.96,3,1,0,3,0.1445,No
318,Ihsan Haddad,DF,jo,Jordan,Al-Hussein SC,32,1994,3,3,260,2.9,0,1,1,0,0,0,0,0,0.0,0.35,0.35,1,0,1,2,0.1443,No
319,Sherzod Nasrullaev,DFMF,uz,Uzbekistan,FC Nasaf,27,1998,3,3,180,2.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,1,1,2,2,0.1436,No
320,Bilal El Khannouss,MFFW,ma,Morocco,Stuttgart,22,2004,6,6,461,5.1,0,0,0,0,0,0,1,0,0.0,0.0,0.0,6,4,7,1,0.1434,No
321,Wilfried Singo,DF,ci,Côte d'Ivoire,Galatasaray,25,2000,2,2,171,1.9,0,1,1,0,0,0,0,0,0.0,0.53,0.53,2,0,0,4,0.1427,No
322,Julián Álvarez,FW,ar,Argentina,Atlético Madrid,26,2000,7,4,501,5.6,1,0,1,1,0,0,0,0,0.18,0.0,0.18,11,5,4,3,0.1425,No
323,Exequiel Palacios,DF,ar,Argentina,Leverkusen,27,1998,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,5,0.1425,No
324,Nathan Aké,DF,nl,Netherlands,Manchester City,31,1995,3,2,170,1.9,0,0,0,0,0,0,0,0,0.0,0.0,0.0,1,0,0,4,0.1424,No
325,Mateo Kovačić,MF,hr,Croatia,Manchester City,32,1994,4,3,270,3.0,0,1,1,0,0,0,0,0,0.0,0.33,0.33,5,4,3,2,0.1424,No
326,Karim Hafez,DF,eg,Egypt,Pyramids FC,30,1996,3,2,172,1.9,0,1,1,0,0,0,0,0,0.0,0.52,0.52,1,0,1,3,0.1421,No
327,Paul Okon-Engstler,MF,au,Australia,Sydney FC,21,2005,4,2,197,2.2,0,1,1,0,0,0,0,0,0.0,0.46,0.46,0,0,2,5,0.1418,No
328,Ellyes Skhiri,MFDF,tn,Tunisia,Frankfurt,31,1995,3,3,250,2.8,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,1,2,0.1414,No
329,Jiovany Ramos,DF,pa,Panama,Puerto Cabello,29,1997,2,2,166,1.8,0,0,0,0,0,0,0,0,0.0,0.0,0.0,2,0,1,3,0.1404,No
330,Promise David,FW,ca,Canada,Union SG,25,2001,4,0,80,0.9,1,1,2,1,0,0,0,0,1.13,1.13,2.25,5,3,1,1,0.1402,No
331,Teboho Mokoena,MF,za,South Africa,Sundowns,29,1997,3,3,270,3.0,1,0,1,0,1,1,2,0,0.33,0.0,0.33,4,2,3,5,0.1399,No
332,Juriën Gaari,DF,cw,Curaçao,Abha,32,1993,2,2,166,1.8,0,0,0,0,0,0,1,0,0.0,0.0,0.0,2,0,2,2,0.1396,No
333,Omar Alderete,DF,py,Paraguay,Sunderland,29,1996,4,4,320,3.6,0,0,0,0,0,0,0,0,0.0,0.0,0.0,1,0,0,2,0.1393,No
334,Moisés Caicedo,MF,ec,Ecuador,Chelsea,24,2001,4,4,360,4.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,4,1,6,4,0.1388,No
335,Hussein Ali,DF,iq,Iraq,Pogoń Szczecin,24,2002,2,2,162,1.8,0,0,0,0,0,0,0,0,0.0,0.0,0.0,1,0,2,2,0.1384,No
336,Zeki Çelik,DF,tr,Türkiye,Roma,29,1997,2,2,163,1.8,0,0,0,0,0,0,0,0,0.0,0.0,0.0,1,1,3,1,0.1379,No
337,Nizar Al Rashdan,MF,jo,Jordan,Qatar SC,27,1999,3,3,255,2.8,1,0,1,1,0,0,0,0,0.35,0.0,0.35,2,1,5,2,0.1377,No
338,Mikel Merino,MF,es,Spain,Arsenal,30,1996,7,1,153,1.7,2,0,2,2,0,0,0,0,1.18,0.0,1.18,5,3,2,3,0.1371,No
339,Abbosbek Fayzullayev,MF,uz,Uzbekistan,Başakşehir,22,2003,3,3,220,2.4,1,0,1,1,0,0,0,0,0.41,0.0,0.41,3,2,6,1,0.136,No
340,Luka Modrić,MF,hr,Croatia,Milan,40,1985,4,4,317,3.5,0,1,1,0,0,0,1,0,0.0,0.28,0.28,1,0,3,0,0.1359,No
341,Arthur Theate,DF,be,Belgium,Frankfurt,26,2000,3,2,228,2.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,5,1,0,3,0.1359,No
342,Rodrigo Bentancur,MF,uy,Uruguay,Tottenham,29,1997,3,3,270,3.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,4,0,5,7,0.1357,No
343,Lewis Ferguson,MF,sct,Scotland,Bologna,26,1999,3,3,270,3.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,2,1,7,4,0.1357,No
344,Saeid Ezatolahi,MF,ir,IR Iran,Al-Ahli Dubai FC,29,1996,3,3,264,2.9,0,0,0,0,0,0,2,0,0.0,0.0,0.0,6,2,5,7,0.1348,No
345,Samuel Moutoussamy,MF,cd,Congo DR,Atromitos,29,1996,4,4,330,3.7,0,0,0,0,0,0,1,0,0.0,0.0,0.0,3,0,8,1,0.1344,No
346,Andy Robertson,DF,sct,Scotland,Liverpool,32,1994,3,3,225,2.5,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0,0,1,2,0.1342,No
347,Rafael Leão,MF,pt,Portugal,Milan,27,1999,5,1,158,1.8,1,1,2,1,0,0,0,0,0.57,0.57,1.14,4,1,0,2,0.1336,No
348,Jamal Musiala,MF,de,Germany,Bayern Munich,23,2003,4,3,270,3.0,1,0,1,1,0,0,1,0,0.33,0.0,0.33,6,1,5,1,0.1332,No
349,Leo Østigård,DF,no,Norway,Genoa,26,1999,5,1,146,1.6,1,0,1,1,0,0,0,0,0.62,0.0,0.62,3,1,3,1,0.1329,No
350,Fabián Ruiz Peña,MF,es,Spain,PSG,30,1996,7,3,260,2.9,1,0,1,1,0,0,0,0,0.35,0.0,0.35,8,2,3,4,0.1318,No
351,Joško Gvardiol,DF,hr,Croatia,Manchester City,24,2002,4,2,139,1.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,1,0,2,2,0.1317,No
352,Miguel Almirón,MFFW,py,Paraguay,Atlanta Utd,32,1994,4,4,282,3.1,0,0,0,0,0,0,1,1,0.0,0.0,0.0,4,0,7,3,0.1308,No
353,Pedro Neto,MF,pt,Portugal,Chelsea,26,2000,5,5,350,3.9,0,1,1,0,0,0,0,0,0.0,0.26,0.26,1,0,2,0,0.1307,No
354,Lucas Herrington,DF,au,Australia,Colorado Rapids,18,2007,2,2,210,2.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,1,2,0.1298,No
355,Mauricio,MF,py,Paraguay,Palmeiras,25,2001,4,0,173,1.9,1,0,1,1,0,0,0,0,0.52,0.0,0.52,4,3,6,1,0.1291,No
356,Michael Boxall,DF,nz,New Zealand,Minnesota Utd,37,1988,3,2,207,2.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,1,2,0.129,No
357,Leroy Sané,MF,de,Germany,Galatasaray,30,1996,4,4,326,3.6,1,0,1,1,0,0,0,0,0.28,0.0,0.28,6,2,3,2,0.128,No
358,Gonzalo Plata,FW,ec,Ecuador,Flamengo,25,2000,4,4,360,4.0,1,0,1,1,0,0,1,0,0.25,0.0,0.25,8,5,5,2,0.1279,No
359,Trézéguet,MF,eg,Egypt,Al Ahly,31,1994,4,1,164,1.8,1,1,2,1,0,0,0,0,0.55,0.55,1.1,8,3,0,1,0.1278,No
360,Homam Ahmed,DF,qa,Qatar,Cultural Leonesa,26,1999,2,2,122,1.4,0,1,1,0,0,0,0,1,0.0,0.74,0.74,1,0,1,3,0.1276,No
361,Nicolás González,FWMF,ar,Argentina,Atlético Madrid,28,1998,6,0,214,2.4,0,1,1,0,0,0,0,0,0.0,0.42,0.42,7,1,3,1,0.1276,No
362,Franck Kessié,MF,ci,Côte d'Ivoire,Al-Ahli,29,1996,4,4,346,3.8,1,0,1,1,0,0,1,0,0.26,0.0,0.26,4,2,4,0,0.1276,No
363,Morgan Rogers,MF,eng,England,Aston Villa,23,2002,6,2,249,2.8,0,1,1,0,0,0,0,0,0.0,0.36,0.36,3,1,3,0,0.126,No
364,Manu Koné,MF,fr,France,Roma,25,2001,5,4,385,4.3,0,0,0,0,0,0,1,0,0.0,0.0,0.0,6,2,5,3,0.1257,No
365,Issa Laye,MFDF,qa,Qatar,Al-Arabi,28,1997,3,3,270,3.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,1,0,1,1,0.1239,No
366,Ángelo Preciado,DFMF,ec,Ecuador,Atlético Mineiro,28,1998,4,0,109,1.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,1,3,0.1238,No
367,Barış Alper Yılmaz,MFFW,tr,Türkiye,Galatasaray,26,2000,3,2,179,2.0,1,1,2,1,0,0,0,0,0.5,0.5,1.01,2,1,0,0,0.1233,No
368,Malo Gusto,DFMF,fr,France,Chelsea,23,2003,4,0,32,0.4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,3,2,0.1232,No
