,,,,,,,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,,-additional
Rk,Player,Pos,Squad,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Matches,-9999
95,Neil El Aynaoui,MF,ma Morocco,25-015,2001,6.2,0,0,0,15,7,0,0,8,9,,,0,Matches,17e1261b
96,Ali Azaizeh,MF,jo Jordan,22-095,2004,0.6,0,0,0,1,1,0,1,0,3,,,0,Matches,3a46ac67
97,Juninho Bacuna,MF,cw Curaçao,28-344,1997,2.8,2,0,0,6,3,0,5,5,4,,,0,Matches,aaf1bf05
98,Leandro Bacuna,MF,cw Curaçao,34-330,1991,3.0,1,0,0,3,3,0,4,0,3,,,0,Matches,9dc69d38
99,Álex Baena,MFFW,es Spain,24-362,2001,4.5,1,0,0,9,6,2,34,2,5,,,0,Matches,518f2234
100,Esmir Bajraktarevic,MF,ba Bosnia–Herz,21-129,2005,2.6,0,0,0,1,2,0,8,3,0,,,0,Matches,dff24174
101,Cédric Bakambu,FW,cd Congo DR,35-097,1991,2.1,0,0,0,2,1,4,1,0,0,,,0,Matches,0af4dcf0
102,Fabián Balbuena,DF,py Paraguay,34-328,1991,0.0,0,0,0,0,0,0,0,0,0,,,0,Matches,3626f7d9
103,Folarin Balogun,FW,us United States,25-014,2001,3.5,1,1,0,3,8,3,0,1,0,,,0,Matches,31822f8c
104,Simon Banza,FWMF,cd Congo DR,29-338,1996,0.4,0,0,0,1,0,0,0,0,1,,,0,Matches,be47b750
105,Yoel Bárcenas,MF,pa Panama,32-267,1993,2.8,1,0,0,3,3,0,7,2,0,,,0,Matches,b39849eb
106,Valentín Barco,DFMF,ar Argentina,21-359,2004,0.2,0,0,0,0,1,0,0,0,0,,,0,Matches,b9f282ec
107,Bradley Barcola,MF,fr France,23-318,2002,3.8,1,0,0,3,1,1,3,1,3,,,0,Matches,a0d55a09
108,Abdülkerim Bardakcı,DF,tr Türkiye,31-313,1994,2.9,0,0,0,1,3,0,7,2,5,,,0,Matches,5d9cff53
109,Ivan Bašić,MF,ba Bosnia–Herz,24-078,2002,2.0,0,0,0,2,3,0,12,3,1,,,0,Matches,9b0a0d51
