,,,,,,,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,,-additional
Rk,Player,Pos,Squad,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Matches,-9999
409,Son Heung-min,FW,kr Korea Republic,34-009,1992,1.9,0,0,0,0,4,2,3,0,1,,,0,Matches,92e7e919
410,Aaron Hickey,DF,sct Scotland,24-037,2002,0.8,1,0,0,2,4,0,1,1,0,,,0,Matches,1780bb4a
411,Isak Hien,DF,se Sweden,27-185,1999,2.4,1,0,0,3,3,0,0,1,3,,,0,Matches,12806697
412,Piero Hincapié,DF,ec Ecuador,24-189,2002,3.8,1,1,0,5,4,0,14,4,5,,,0,Matches,0c7a48f8
413,Adam Hložek,FW,cz Czechia,23-357,2002,1.7,0,0,0,4,4,0,0,1,1,,,0,Matches,5521f419
414,Tomáš Holeš,DF,cz Czechia,33-108,1993,1.7,0,0,0,2,2,0,0,4,3,,,0,Matches,e03c2d97
415,Amirhossein Hosseinzadeh,FW,ir IR Iran,25-260,2000,0.2,0,0,0,0,0,0,0,0,2,,,0,Matches,47270f0c
416,Robin Hranáč,DF,cz Czechia,26-169,2000,3.0,0,0,0,6,0,0,1,1,0,,,0,Matches,95d5aea2
417,Ajdin Hrustic,MF,au Australia,30-012,1996,0.9,0,0,0,1,0,0,5,0,0,,,0,Matches,1f2d714c
418,César Huerta,FWMF,mx Mexico,25-226,2000,0.1,0,0,0,0,0,0,0,0,0,,,0,Matches,de2f44ce
419,Al-Hashmi Al-Hussain,MF,qa Qatar,22-336,2003,0.4,0,0,0,2,2,0,0,1,2,,,0,Matches,c164fda2
420,Ayman Hussein,FW,iq Iraq,30-117,1996,1.3,0,0,0,2,1,0,0,0,0,,,1,Matches,8b574de7
421,Oh Hyeon-gyu,FW,kr Korea Republic,25-096,2001,1.4,0,0,0,0,1,0,1,0,0,,,0,Matches,d25422fb
422,Yang Hyun-jun,FWMF,kr Korea Republic,24-053,2002,0.2,0,0,0,1,0,1,0,1,1,,,0,Matches,f4cda99f
423,Roger Ibanez,DF,br Brazil,27-236,1998,0.5,1,0,0,2,1,0,0,1,2,,,0,Matches,82efe6fa
424,Yasser Ibrahim,DF,eg Egypt,33-157,1993,5.2,2,0,0,6,3,0,0,3,6,,,0,Matches,0b89ad1b
425,Borja Iglesias,FW,es Spain,33-181,1993,0.0,0,0,0,0,0,0,0,0,0,,,0,Matches,75645f0e
426,Hwang In-beom,MF,kr Korea Republic,29-300,1996,2.9,0,0,0,1,1,0,2,4,2,,,0,Matches,92fa5d28
427,Christ Inao Oulaï,MF,ci Côte d'Ivoire,20-102,2006,2.3,0,0,0,3,5,0,0,6,4,,,0,Matches,62709ee4
428,Zidane Iqbal,MF,iq Iraq,23-081,2003,2.1,0,0,0,1,2,0,2,1,2,,,0,Matches,6fa3c28e
429,Nestory Irankunda,FWMF,au Australia,20-158,2006,2.9,0,0,0,4,5,0,1,1,0,,,0,Matches,4ac730b2
430,Jackson Irvine,MF,au Australia,33-132,1993,2.5,1,0,0,3,3,0,2,1,1,,,0,Matches,4637747c
431,Alexander Isak,FW,se Sweden,26-299,1999,4.0,0,0,0,4,1,5,3,0,2,,,0,Matches,8e92be30
432,Wilson Isidor,FW,ht Haiti,25-324,2000,2.1,0,0,0,3,2,1,0,1,1,,,0,Matches,a671316d
433,Jamshid Iskanderov,FWMF,uz Uzbekistan,32-274,1993,0.1,0,0,0,0,0,0,1,0,0,,,0,Matches,3b8abe7c
434,Zaid Ismail,MF,iq Iraq,24-195,2002,1.3,0,0,0,2,0,0,0,1,4,,,0,Matches,c65effaa
435,Ko Itakura,DF,jp Japan,29-171,1997,1.4,0,0,0,1,0,0,0,1,0,,,0,Matches,97d545ae
436,Jacob Italiano,DF,au Australia,24-352,2001,1.8,1,0,0,0,0,0,8,1,2,,,0,Matches,2eb0ee9a
437,Hiroki Ito,DF,jp Japan,27-066,1999,4.0,0,0,0,7,0,0,9,0,2,,,0,Matches,204dded0
438,Junya Itō,MF,jp Japan,33-130,1993,2.4,0,0,0,2,5,0,17,1,2,,,0,Matches,dbd3a428
439,Cedric Itten,FWMF,ch Switzerland,29-202,1996,0.5,0,0,0,4,2,0,1,0,0,,,0,Matches,ef233486
440,Nicolas Jackson,FW,sn Senegal,25-027,2001,2.6,0,0,0,2,0,5,1,1,2,,,0,Matches,9c36ed83
441,Lee Jae-sung,FW,kr Korea Republic,33-341,1992,1.3,0,0,0,1,4,1,0,2,3,,,0,Matches,34b0387f
442,Alireza Jahanbakhsh,FWMF,ir IR Iran,32-340,1993,0.5,0,0,0,2,0,0,1,0,1,,,0,Matches,08452314
443,Ismail Jakobs,DF,sn Senegal,26-334,1999,2.4,0,0,0,2,0,0,18,2,2,,,0,Matches,a0415710
444,Reece James,DF,eng England,26-221,1999,3.5,0,0,0,3,1,0,9,3,2,,,0,Matches,1265a93a
445,Amer Jamous,MF,jo Jordan,24-014,2002,0.2,0,0,0,1,0,0,0,0,0,,,0,Matches,32d4f1e1
446,Luca Jaquez,DF,ch Switzerland,23-045,2003,0.9,0,0,0,3,1,0,2,1,0,,,0,Matches,a400da8e
447,Ardon Jashari,MF,ch Switzerland,23-352,2002,0.8,0,0,0,2,1,0,1,0,0,,,0,Matches,889588db
448,Ali Jasim,MF,iq Iraq,22-178,2004,1.4,0,0,0,1,0,0,4,0,1,,,0,Matches,1a927a6f
449,Danley Jean-Jacques,MF,ht Haiti,26-058,2000,2.9,1,0,0,5,3,0,1,3,6,,,0,Matches,59fcbd6d
450,Eom Ji-sung,MF,kr Korea Republic,24-069,2002,0.5,0,0,0,0,1,0,3,0,2,,,0,Matches,3a049da1
451,Raúl Jiménez,FW,mx Mexico,35-073,1991,3.5,0,0,0,7,2,2,0,0,1,,,0,Matches,b561db50
452,Kim Jin-gyu,MF,kr Korea Republic,29-143,1997,0.6,0,0,0,0,1,0,1,0,1,,,0,Matches,7c0479b1
453,Park Jinseob,DFMF,kr Korea Republic,30-267,1995,0.4,0,0,0,0,1,0,0,0,0,,,0,Matches,3316967a
454,Ruslanbek Jiyanov,FW,uz Uzbekistan,25-042,2001,0.0,0,0,0,0,0,0,0,0,1,,,0,Matches,3c181746
455,Alistair Johnston,DF,ca Canada,27-282,1998,5.0,1,0,0,5,4,0,19,6,2,,,0,Matches,4fb17e20
456,Frenkie de Jong,MF,nl Netherlands,29-066,1997,3.6,0,0,0,6,6,0,1,8,7,,,0,Matches,1bacc518
457,Lenny Joseph,FW,ht Haiti,25-278,2000,1.3,0,0,0,6,1,0,0,0,0,,,0,Matches,d1828392
458,Edmilson Junior,MFFW,qa Qatar,31-332,1994,2.3,0,0,0,4,2,1,4,0,1,,,0,Matches,620764f4
459,Vinicius Júnior,FW,br Brazil,26-005,2000,4.9,0,0,0,4,10,3,12,1,1,,,0,Matches,7111d552
460,Elijah Just,MF,nz New Zealand,26-077,2000,2.9,1,0,0,3,2,0,2,2,3,,,0,Matches,0c295d6e
461,Musab Al Juwayr,MFFW,sa Saudi Arabia,23-027,2003,1.7,0,0,0,1,1,2,7,1,3,,,0,Matches,62592fc1
462,Ayoub El Kaabi,FW,ma Morocco,33-021,1993,0.8,0,0,0,1,1,3,0,0,2,,,0,Matches,b1bfd1d4
463,Ozan Kabak,DF,tr Türkiye,26-114,2000,1.0,0,0,0,3,0,0,1,0,2,,,0,Matches,2d61d13a
464,Ferdi Kadioglu,DF,tr Türkiye,26-283,1999,1.8,0,0,0,0,3,0,4,1,2,,,0,Matches,66c52a77
465,Kaku,MF,py Paraguay,31-187,1995,0.1,0,0,0,1,1,0,0,0,0,,,0,Matches,cb01ad74
466,Saša Kalajdžić,FW,at Austria,29-010,1997,0.9,0,0,0,2,2,0,1,0,0,,,0,Matches,15f24fe7
467,Gédéon Kalulu,DF,cd Congo DR,28-322,1997,0.1,0,0,0,0,0,0,0,0,0,,,0,Matches,dd211559
468,Daichi Kamada,MF,jp Japan,29-346,1996,3.7,1,0,0,2,4,1,4,1,3,,,0,Matches,15b287da
469,Hossein Kanaanizadegan,DF,ir IR Iran,32-116,1994,1.5,1,0,0,1,0,0,0,2,0,,,0,Matches,24353c25
470,Harry Kane,FW,eng England,32-354,1993,7.2,0,0,0,8,9,2,1,1,3,,,0,Matches,21a66f6a
471,Lee Kang-in,FW,kr Korea Republic,25-148,2001,3.0,1,0,0,1,7,0,19,0,0,,,0,Matches,8455ad90
472,Mohamed Kanno,MF,sa Saudi Arabia,31-298,1994,2.5,1,0,0,5,0,0,0,2,4,,,0,Matches,74ccf212
473,Steve Kapuadi,DF,cd Congo DR,28-078,1998,2.0,0,0,0,2,0,0,0,1,1,,,0,Matches,3f3c941a
474,Bekhruz Karimov,DF,uz Uzbekistan,18-344,2007,2.0,0,0,0,8,4,0,2,3,5,,,0,Matches,74cdaeba
475,Jesper Karlström,MF,se Sweden,31-026,1995,1.5,0,0,0,3,0,0,0,1,3,,,0,Matches,e0a1f4eb
476,Gervane Kastaneer,FWMF,cw Curaçao,30-038,1996,0.3,2,0,0,2,0,0,0,0,0,,,0,Matches,0c142e14
477,Nikola Katić,DF,ba Bosnia–Herz,29-280,1996,3.5,1,0,0,4,0,0,0,5,6,,,0,Matches,35bd124a
478,Edo Kayembe,MF,cd Congo DR,28-044,1998,1.8,0,0,0,5,3,0,2,0,1,,,0,Matches,f99b71de
479,Joris Kayembe,DFFW,cd Congo DR,31-343,1994,0.5,0,0,0,0,1,0,3,4,4,,,0,Matches,4657faba
480,Franck Kessié,MF,ci Côte d'Ivoire,29-210,1996,3.8,1,0,0,7,2,1,2,0,4,,,0,Matches,05e19d6a
481,Abdullah Al-Khaibari,MF,sa Saudi Arabia,29-335,1996,2.0,0,0,0,0,2,0,0,1,1,,,0,Matches,ab47ae1c
482,Shoja' Khalilzadeh,DF,ir IR Iran,37-064,1989,3.0,1,0,0,4,0,1,0,3,3,,,0,Matches,0aed29f1
483,Dostonbek Khamdamov,MF,uz Uzbekistan,29-358,1996,1.1,0,0,0,1,0,1,5,2,4,,,0,Matches,d2dd2ffb
484,Bilal El Khannouss,MFFW,ma Morocco,22-068,2004,5.1,1,0,0,5,6,0,10,1,7,,,0,Matches,f7042636
485,Rani Khedira,MF,tn Tunisia,32-171,1994,1.7,1,0,0,3,0,0,0,2,1,,,0,Matches,59e4b92e
486,Boualem Khoukhi,DF,qa Qatar,36-008,1990,3.0,0,0,0,2,1,0,2,3,3,,,0,Matches,7be5ad52
487,Abdukodir Khusanov,DF,uz Uzbekistan,22-138,2004,3.0,2,0,0,6,0,0,0,5,3,,,0,Matches,d17ce930
488,Joshua Kimmich,DF,de Germany,31-159,1995,3.9,0,0,0,0,7,0,31,4,4,,,0,Matches,49296448
489,Justin Kluivert,FWMF,nl Netherlands,27-073,1999,0.3,0,0,0,0,2,0,1,0,0,,,0,Matches,4c3a6744
490,Gregor Kobel,GK,ch Switzerland,28-223,1997,6.7,0,0,0,0,3,0,0,0,0,,,0,Matches,cd59b9df
491,Orkun Kökçü,MF,tr Türkiye,25-200,2000,1.7,0,0,0,2,4,0,6,0,1,,,0,Matches,9bf914b4
492,Sead Kolašinac,DF,ba Bosnia–Herz,33-027,1993,3.7,0,0,0,6,4,0,9,2,6,,,0,Matches,3935e52e
493,Ghislain Konan,DF,ci Côte d'Ivoire,30-202,1995,3.0,0,0,0,0,1,0,8,0,3,,,0,Matches,6b2c894b
494,Ibrahima Konaté,DF,fr France,27-053,1999,0.2,0,0,0,0,0,0,0,3,0,,,0,Matches,5ed9b537
495,Ismaël Koné,MF,ca Canada,24-031,2002,1.6,0,0,0,1,3,0,3,3,2,,,0,Matches,e0220b70
496,Manu Koné,MF,fr France,25-061,2001,4.3,1,0,0,6,7,0,1,3,5,,,0,Matches,86574238
497,Ezri Konsa,DF,eng England,28-267,1997,6.2,0,0,0,7,11,0,3,4,3,,,0,Matches,0313a347
498,Teun Koopmeiners,DFMF,nl Netherlands,28-139,1998,1.4,0,0,0,3,0,0,5,1,1,,,0,Matches,a26fb8aa
499,Odilon Kossounou,DF,ci Côte d'Ivoire,25-194,2001,3.0,0,0,0,0,1,0,0,3,3,,,0,Matches,1f3afdcb
500,Kalidou Koulibaly,DF,sn Senegal,35-027,1991,1.8,0,0,0,0,0,0,0,2,1,,,0,Matches,da974c7b
501,Jules Koundé,DF,fr France,27-247,1998,6.6,0,0,0,6,5,1,12,3,8,,,0,Matches,4d1666ff
502,Mateo Kovačić,MF,hr Croatia,32-072,1994,3.0,0,0,0,3,3,0,0,2,3,,,0,Matches,79c0821a
503,Matej Kovar,GK,cz Czechia,26-061,2000,3.0,0,0,0,0,0,0,0,0,0,,,0,Matches,bc67a0e1
504,Andrej Kramarić,FWMF,hr Croatia,35-028,1991,0.7,0,0,0,0,0,1,2,0,1,,,0,Matches,603cb947
505,Ladislav Krejčí,DF,cz Czechia,27-088,1999,3.0,1,0,0,6,2,0,2,1,3,,,0,Matches,5b5c2228
506,Takefusa Kubo,MF,jp Japan,25-043,2001,0.8,0,0,0,1,1,0,0,1,0,,,0,Matches,16aa3654
507,Brandley Kuwas,FWMF,cw Curaçao,33-301,1992,0.0,0,0,0,0,0,0,1,0,0,,,0,Matches,42c94967
508,Prince Kwabena Adu,FW,gh Ghana,22-297,2003,0.4,0,0,0,4,0,0,0,0,0,,,0,Matches,36bdd145
509,Maxence Lacroix,DF,fr France,26-102,2000,1.7,0,0,0,4,0,1,0,2,1,,,0,Matches,277c49ed
510,Gustaf Lagerbielke,DF,se Sweden,26-098,2000,4.0,0,0,0,1,3,1,1,5,5,,,0,Matches,9e39fa2d
511,Konrad Laimer,MFDF,at Austria,29-051,1997,4.0,1,0,0,6,3,3,4,2,6,,,0,Matches,c1b7847c
512,Ali Lajami,DF,sa Saudi Arabia,30-084,1996,1.7,0,0,0,0,2,0,0,3,2,,,0,Matches,46f7ab4f
513,Senne Lammens,GK,be Belgium,24-010,2002,0.2,0,0,0,0,0,0,0,0,0,,,0,Matches,8e6d2fcd
514,Noa Lang,FWMF,nl Netherlands,27-030,1999,0.1,0,0,0,0,1,0,0,0,0,,,0,Matches,8e034340
515,Sondre Langås,DF,no Norway,25-165,2001,0.3,0,0,0,0,0,0,0,0,0,,,0,Matches,107e4890
516,Aymeric Laporte,DF,es Spain,32-051,1994,7.0,1,0,0,4,2,0,1,12,3,,,0,Matches,119b9a8e
517,Cyle Larin,FW,ca Canada,31-091,1995,2.1,2,0,0,5,1,3,0,0,0,,,0,Matches,e7af9060
518,Richie Laryea,DF,ca Canada,31-191,1995,4.8,1,0,0,8,14,1,2,2,9,,,0,Matches,276fdbe4
519,Mohanad Lasheen,MF,eg Egypt,30-049,1996,4.0,2,0,0,5,3,0,1,8,11,,,0,Matches,8c041c7d
520,Issa Laye,MFDF,qa Qatar,28-207,1997,3.0,0,0,0,0,3,0,0,1,1,,,0,Matches,c078667a
521,Rafael Leão,MF,pt Portugal,27-037,1999,1.8,0,0,0,1,2,0,7,2,0,,,0,Matches,20730eae
522,Mathew Leckie,MF,au Australia,35-163,1991,0.7,0,0,0,1,1,0,1,0,0,,,0,Matches,b93b7882
523,Jefferson Lerma,MF,co Colombia,31-265,1994,4.6,1,0,0,6,5,0,1,5,1,,,0,Matches,9b5ce51a
524,Jamie Leweling,FWMF,de Germany,25-141,2001,0.3,0,0,0,0,0,0,2,0,0,,,0,Matches,13fe7b69
525,Philipp Lienhart,DF,at Austria,30-006,1996,2.0,0,0,0,0,0,0,0,1,1,,,0,Matches,302527b2
526,Victor Lindelöf,DFMF,se Sweden,32-000,1994,4.0,0,0,0,3,0,0,0,4,1,,,0,Matches,f5deef4c
527,Erik Lira,MF,mx Mexico,26-070,2000,3.8,0,0,0,3,4,0,2,2,3,,,0,Matches,7b2c24ed
528,Dominik Livaković,GK,hr Croatia,31-189,1995,4.0,0,0,0,0,1,0,0,0,0,,,0,Matches,58f077c0
529,Dailon Livramento,FW,cv Cabo Verde,25-074,2001,1.9,0,0,0,1,1,2,2,0,0,,,0,Matches,c115db1e
530,Marcos Llorente,DF,es Spain,31-168,1995,2.1,0,0,0,2,1,0,4,1,6,,,0,Matches,02c15616
531,Giovani Lo Celso,MF,ar Argentina,30-099,1996,0.7,0,0,0,1,1,1,1,1,0,,,0,Matches,d7553721
532,Jürgen Locadia,FW,cw Curaçao,32-252,1993,2.6,0,0,0,3,4,2,0,1,0,,,0,Matches,6cc47ae1
533,Azarías Londoño,MF,pa Panama,25-026,2001,0.6,0,0,0,1,0,0,1,1,0,,,0,Matches,31d68775
534,Sidny Lopes Cabral,DF,cv Cabo Verde,23-302,2002,3.2,2,0,0,2,9,0,12,4,2,,,0,Matches,20700569
535,Flaco López,FW,ar Argentina,25-223,2000,0.2,1,0,0,1,0,0,0,0,1,,,0,Matches,e1426a52
536,Derrick Luckassen,DF,gh Ghana,31-014,1995,2.0,0,0,0,1,2,0,0,0,1,,,0,Matches,30a09cb5
537,Jhon Lucumí,DF,co Colombia,28-021,1998,5.3,1,0,0,5,0,0,0,5,2,,,0,Matches,80490d7f
538,José Luis Rodríguez,MFFW,pa Panama,28-028,1998,2.6,0,0,0,4,2,0,17,0,3,,,0,Matches,b333b014
539,Romelu Lukaku,FW,be Belgium,33-065,1993,2.6,1,0,0,2,0,1,0,0,0,,,0,Matches,5eae500a
540,Dodi Lukebakio,MF,be Belgium,28-296,1997,1.8,0,0,0,1,2,0,6,0,1,,,0,Matches,0c61c77c
541,Jovo Lukić,FW,ba Bosnia–Herz,27-231,1998,0.7,1,0,0,1,0,0,0,0,1,,,0,Matches,a2056e82
542,Awer Mabil,FWMF,au Australia,30-305,1995,0.3,0,0,0,0,1,0,1,0,0,,,0,Matches,922da988
543,Alexis Mac Allister,MF,ar Argentina,27-205,1998,7.0,0,0,0,6,10,0,2,8,10,,,0,Matches,83d074ff
544,Deiver Machado,DF,co Colombia,32-318,1993,1.0,0,0,0,1,2,0,1,2,0,,,0,Matches,b3f8bdef
545,Shuto Machino,FW,jp Japan,26-290,1999,0.1,0,0,0,1,0,0,1,0,0,,,0,Matches,964dde35
546,Assim Madibo,MF,qa Qatar,29-268,1996,1.5,0,1,0,2,1,0,0,4,1,,,0,Matches,2b1d2ada
547,Noni Madueke,MF,eng England,24-129,2002,3.2,0,0,0,2,3,1,21,2,4,,,0,Matches,bf34eebd
548,Daizen Maeda,MF,jp Japan,28-270,1997,2.7,0,0,0,2,1,1,3,2,3,,,0,Matches,395451fc
549,Gabriel Magalhães,DF,br Brazil,28-210,1997,5.0,0,0,0,1,3,0,3,4,2,,,0,Matches,67ac5bb8
550,Ermin Mahmić,MF,ba Bosnia–Herz,21-125,2005,0.8,1,0,0,1,1,0,1,0,1,,,0,Matches,86e34165
551,Hadj Mahmoud,MF,tn Tunisia,26-084,2000,0.5,0,0,0,2,0,0,0,0,2,,,0,Matches,081048c2
552,Riyad Mahrez,MF,dz Algeria,35-146,1991,2.9,0,0,0,1,7,1,10,1,2,,,0,Matches,892d5bb1
553,Alexandro Maidana,DF,py Paraguay,20-356,2005,0.6,0,0,0,0,0,0,1,1,0,,,0,Matches,4d0d5020
554,Mike Maignan,GK,fr France,31-014,1995,7.0,0,0,0,0,2,0,0,0,0,,,0,Matches,fcb38f57
555,Evidence Makgopa,FW,za South Africa,26-042,2000,2.4,0,0,0,1,1,2,0,1,1,,,0,Matches,4d76d03b
556,Ahmed Maknzi,DF,iq Iraq,24-296,2001,0.4,0,0,0,0,0,0,0,0,2,,,0,Matches,f95ac2b6
557,Donyell Malen,FW,nl Netherlands,27-189,1999,2.1,0,0,0,0,2,0,5,0,0,,,0,Matches,116c35df
558,Arjan Malic,DF,ba Bosnia–Herz,20-323,2005,0.5,0,0,0,1,1,0,2,0,0,,,0,Matches,de57cd45
559,Mohamed Manai,DF,qa Qatar,23-265,2002,0.8,0,0,0,3,0,0,0,2,0,,,1,Matches,1e20b706
560,Aïssa Mandi,DF,dz Algeria,34-268,1991,4.0,0,0,0,0,5,0,0,4,3,,,0,Matches,fbd6378b
561,Sadio Mané,MFFW,sn Senegal,34-098,1992,4.0,0,0,0,4,10,3,13,3,2,,,0,Matches,c691bfe2
562,Juan Manuel Sanabria,DF,uy Uruguay,26-110,2000,2.3,1,0,0,1,0,1,15,1,4,,,0,Matches,f1d74479
563,Johan Manzambi,MFFW,ch Switzerland,20-276,2005,2.2,0,0,0,3,3,1,3,0,0,,,0,Matches,8fcf0e12
564,Mahmoud Al-Mardi,MF,jo Jordan,32-284,1993,1.4,0,0,0,4,2,0,7,0,1,,,0,Matches,1eedc1ea
565,Jearl Margaritha,FWMF,cw Curaçao,26-098,2000,0.5,0,0,0,0,0,0,0,0,0,,,0,Matches,be915a68
566,Omar Marmoush,FWMF,eg Egypt,27-160,1999,3.6,0,0,0,3,8,0,5,2,3,,,0,Matches,0e0102eb
567,Marquinhos,DF,br Brazil,32-064,1994,5.0,0,0,0,0,2,1,1,3,2,,,0,Matches,d5f2f82b
568,Gabriel Martinelli,MF,br Brazil,25-029,2001,1.6,0,0,0,4,3,0,2,2,0,,,0,Matches,48a5a5d6
569,Guillermo Martínez Ayala,FW,mx Mexico,31-124,1995,0.8,0,0,0,3,1,0,0,0,0,,,0,Matches,59146354
570,Cristian Martínez,MFFW,pa Panama,29-161,1997,2.7,0,0,0,5,5,1,12,1,4,,,0,Matches,fdb15495
571,Emiliano Martínez,GK,ar Argentina,33-318,1992,7.7,0,0,0,0,1,0,0,0,0,,,0,Matches,7956236f
572,Lautaro Martínez,FW,ar Argentina,28-329,1997,3.4,1,0,0,8,5,2,1,1,1,,,0,Matches,f7036e1c
573,Lisandro Martínez,DF,ar Argentina,28-180,1998,6.5,1,0,0,6,4,0,2,5,6,,,0,Matches,bac46a10
574,Thapelo Maseko,MFFW,za South Africa,22-248,2003,2.7,0,0,0,4,10,0,2,2,1,,,0,Matches,498d45f7
575,Hazem Mastouri,FW,tn Tunisia,29-029,1997,1.0,0,0,0,2,2,0,1,1,0,,,0,Matches,c88f913e
576,Arthur Masuaku,DF,cd Congo DR,32-252,1993,3.5,0,0,0,0,4,0,12,0,5,,,0,Matches,57df7a11
577,Igor Matanović,FW,hr Croatia,23-108,2003,1.1,0,0,0,4,3,1,0,0,0,,,0,Matches,948e1292
578,Pape Matar Sarr,MF,sn Senegal,23-306,2002,0.7,0,0,0,1,0,0,0,1,0,,,0,Matches,feb5d972
579,Jean-Philippe Mateta,FW,fr France,29-019,1997,0.3,0,0,0,1,0,0,0,0,0,,,0,Matches,50e6dc35
580,Mauricio,MF,py Paraguay,25-056,2001,1.9,0,0,0,3,3,0,11,1,6,,,0,Matches,bf4cbc22
581,Fiston Mayele,FW,cd Congo DR,32-023,1994,0.5,0,0,0,1,1,1,0,0,0,,,0,Matches,0d113a00
582,Ibrahim Maza,MFFW,dz Algeria,20-235,2005,3.9,0,0,0,1,5,0,1,0,2,,,0,Matches,89b3bc5e
583,Noussair Mazraoui,DF,ma Morocco,28-245,1997,5.3,0,0,0,4,6,0,3,2,8,,,0,Matches,b74277a0
584,Kylian Mbappé,FW,fr France,27-209,1998,6.7,1,0,0,6,8,5,4,0,1,,,0,Matches,42fd9c7f
585,Thalente Mbatha,MF,za South Africa,26-123,2000,2.9,1,0,0,4,0,0,4,5,2,,,0,Matches,f6272be9
586,Ibrahim Mbaye,MF,sn Senegal,18-174,2008,1.7,0,0,0,0,2,0,9,1,0,,,0,Matches,201b4ee4
587,Chancel Mbemba,DF,cd Congo DR,31-343,1994,4.0,1,0,0,1,3,0,4,1,3,,,0,Matches,e76cb9cc
588,Mbekezeli Mbokazi,DF,za South Africa,20-301,2005,4.0,0,0,0,3,5,1,3,4,5,,,0,Matches,13398d42
589,Nathanaël Mbuku,MFFW,cd Congo DR,24-123,2002,1.6,1,0,0,4,8,0,14,0,3,,,0,Matches,46750e9c
590,Callum McCowatt,MF,nz New Zealand,27-078,1999,1.8,1,0,0,4,1,0,3,1,1,,,0,Matches,3fc42049
591,John McGinn,MF,sct Scotland,31-272,1994,2.9,0,0,0,2,11,0,10,0,0,,,0,Matches,90f91999
592,Scott McKenna,DF,sct Scotland,29-247,1996,1.0,0,0,0,0,0,0,0,0,0,,,0,Matches,4e5a4cbc
593,Weston McKennie,MF,us United States,27-323,1998,4.9,1,0,0,8,2,0,11,7,7,,,0,Matches,01c3aff5
594,Mark McKenzie,DF,us United States,27-142,1999,1.0,0,0,0,1,1,0,0,1,1,,,0,Matches,a5f5d094
595,Kenny McLean,MF,sct Scotland,34-190,1992,1.3,1,0,0,1,1,0,2,2,1,,,0,Matches,471f16b3
596,Scott McTominay,MF,sct Scotland,29-221,1996,3.0,0,0,0,3,0,0,0,0,2,,,0,Matches,d93c2511
597,Brandon Mechele,DF,be Belgium,33-170,1993,6.3,1,0,0,9,2,0,0,4,4,,,0,Matches,0a6dbbf7
598,Facundo Medina,DF,ar Argentina,27-050,1999,2.9,1,0,0,3,2,1,0,1,6,,,0,Matches,6f5ec8bb
599,Yaimar Medina,DFMF,ec Ecuador,21-254,2004,0.5,0,0,0,1,0,0,4,1,0,,,0,Matches,1fe8ecf7
600,Hannibal Mejbri,MF,tn Tunisia,23-177,2003,3.0,0,0,0,4,15,0,10,1,4,,,0,Matches,ca22ccb0
601,Amar Memić,MF,ba Bosnia–Herz,25-178,2001,2.5,0,0,0,4,3,0,5,2,2,,,0,Matches,918c187c
602,Memphis,FWMF,nl Netherlands,32-154,1994,0.6,1,0,0,1,1,0,1,0,0,,,0,Matches,8f696594
603,Sultan Mendash,MF,sa Saudi Arabia,31-273,1994,0.7,0,0,0,1,2,0,0,0,3,,,0,Matches,8738a7a1
604,Lucas Mendes,DF,qa Qatar,36-014,1990,0.0,0,0,0,0,0,1,0,0,0,,,0,Matches,5169f27f
605,Nuno Mendes,DF,pt Portugal,24-028,2002,4.4,0,0,0,3,12,1,19,0,6,,,0,Matches,f20e4cc9
606,Ryan Mendes,FWMF,cv Cabo Verde,36-190,1990,3.7,0,0,0,1,2,2,3,5,2,,,0,Matches,ba6e01ab
607,Édouard Mendy,GK,sn Senegal,34-138,1992,1.7,0,0,0,0,0,0,0,0,0,,,0,Matches,33887998
608,Gideon Mensah,DF,gh Ghana,27-364,1998,4.0,0,0,0,2,3,0,3,8,5,,,0,Matches,9bdd8118
609,Mikel Merino,MF,es Spain,30-025,1996,1.7,0,0,0,5,5,0,1,3,2,,,0,Matches,d080ed5e
610,Lionel Messi,FW,ar Argentina,39-023,1987,6.9,0,0,0,2,16,5,49,0,9,,,0,Matches,d70ce98e
611,Connor Metcalfe,MF,au Australia,26-254,1999,3.5,0,0,0,1,0,0,8,2,5,,,0,Matches,73ce4d7d
612,Thomas Meunier,DF,be Belgium,34-308,1991,2.1,0,0,0,9,0,0,7,2,2,,,0,Matches,e162b013
613,Liam Millar,MF,ca Canada,26-293,1999,1.8,1,0,0,3,1,0,10,0,4,,,0,Matches,983515f8
614,Kim Min-jae,DF,kr Korea Republic,29-244,1996,2.7,0,0,0,2,1,0,0,2,2,,,0,Matches,e0f8151c
615,Yerry Mina,DF,co Colombia,31-297,1994,0.0,0,0,0,0,1,0,0,0,0,,,0,Matches,6d5701f2
616,Alan Minda,MF,ec Ecuador,23-064,2003,0.6,0,0,0,0,1,0,2,1,0,,,0,Matches,9cfd5b00
617,Aubrey Modiba,DF,za South Africa,30-360,1995,3.8,1,0,0,4,6,2,11,4,5,,,0,Matches,bb1f97f2
618,Luka Modrić,MF,hr Croatia,40-311,1985,3.5,1,0,0,4,3,0,11,0,3,,,0,Matches,6025fab1
619,Relebohile Mofokeng,MF,za South Africa,21-267,2004,1.9,0,0,0,3,2,0,2,0,2,,,0,Matches,25c3fb97
