Rk,Player,Pos,Squad,Age,Born,Playing Time_MP,Playing Time_Min,Playing Time_Mn/MP,Playing Time_Min%,Playing Time_90s,Starts_Starts,Starts_Mn/Start,Starts_Compl,Subs_Subs,Subs_Mn/Sub,Subs_unSub,Team Success_PPM,Team Success_onG,Team Success_onGA,Team Success_+/-,Team Success_+/-90,Team Success_On-Off,Matches,-additional_-9999
530,Junya Itō,MF,jp Japan,33-130,1993,4,216.0,54.0,60.0,2.4,2,84.0,1,2,25.0,0,1.25,6.0,1.0,5.0,2.08,3.33,Matches,dbd3a428
531,Cedric Itten,FWMF,ch Switzerland,29-202,1996,3,42.0,14.0,7.0,0.5,0,,0,3,14.0,3,2.33,2.0,1.0,1.0,2.14,1.66,Matches,ef233486
532,Paul Izzo,GK,au Australia,31-192,1995,0,,,,,0,,0,0,,4,,,,,,,Matches,f3c4d6ac
533,Nicolas Jackson,FW,sn Senegal,25-027,2001,4,234.0,59.0,60.0,2.6,2,86.0,1,2,31.0,0,0.75,5.0,6.0,-1.0,-0.38,-1.54,Matches,9c36ed83
534,Lee Jae-sung,FW,kr Korea Republic,33-341,1992,2,117.0,59.0,43.3,1.3,2,59.0,0,0,,1,1.5,0.0,2.0,-2.0,-1.54,-2.13,Matches,34b0387f
535,Alireza Jahanbakhsh,FWMF,ir IR Iran,32-340,1993,2,46.0,23.0,17.0,0.5,0,,0,2,23.0,1,1.0,0.0,0.0,0.0,0.0,0.0,Matches,08452314
536,Kristijan Jakić,DFMF,hr Croatia,29-064,1997,0,,,,,0,,0,0,,4,,,,,,,Matches,a8ee54ad
537,Ismail Jakobs,DF,sn Senegal,26-334,1999,3,219.0,73.0,56.2,2.4,2,91.0,1,1,37.0,1,1.0,8.0,3.0,5.0,2.05,4.16,Matches,a0415710
538,Reece James,DF,eng England,26-221,1999,4,311.0,78.0,47.1,3.5,3,87.0,2,1,50.0,2,1.75,6.0,2.0,4.0,1.16,0.64,Matches,1265a93a
539,Amer Jamous,MF,jo Jordan,24-014,2002,1,15.0,15.0,5.6,0.2,0,,0,1,15.0,2,0.0,0.0,1.0,-1.0,-6.0,-4.59,Matches,32d4f1e1
540,Tahsin Jamshid,FW,qa Qatar,20-031,2006,0,,,,,0,,0,0,,3,,,,,,,Matches,efdcf1c7
541,Luca Jaquez,DF,ch Switzerland,23-045,2003,2,78.0,39.0,13.0,0.9,1,73.0,0,1,5.0,2,3.0,4.0,1.0,3.0,3.46,3.29,Matches,a400da8e
542,Ardon Jashari,MF,ch Switzerland,23-352,2002,3,72.0,24.0,12.0,0.8,1,45.0,0,2,14.0,3,0.67,0.0,3.0,-3.0,-3.75,-4.94,Matches,889588db
543,Ali Jasim,MF,iq Iraq,22-178,2004,2,129.0,65.0,47.8,1.4,2,65.0,0,0,,1,0.0,1.0,4.0,-3.0,-2.09,3.01,Matches,1a927a6f
544,Danley Jean-Jacques,MF,ht Haiti,26-058,2000,3,259.0,86.0,95.9,2.9,3,86.0,2,0,,0,0.0,2.0,7.0,-5.0,-1.74,6.44,Matches,59fcbd6d
545,Eom Ji-sung,MF,kr Korea Republic,24-069,2002,2,42.0,21.0,15.6,0.5,0,,0,2,21.0,1,1.5,1.0,0.0,1.0,2.14,2.93,Matches,3a049da1
546,Raúl Jiménez,FW,mx Mexico,35-073,1991,4,317.0,79.0,70.4,3.5,4,79.0,1,0,,1,2.25,7.0,3.0,4.0,1.14,-0.89,Matches,b561db50
547,Kim Jin-gyu,MF,kr Korea Republic,29-143,1997,2,52.0,26.0,19.3,0.6,0,,0,2,26.0,1,1.5,0.0,1.0,-1.0,-1.73,-1.73,Matches,7c0479b1
548,Park Jinseob,DFMF,kr Korea Republic,30-267,1995,2,32.0,16.0,11.9,0.4,0,,0,2,16.0,1,1.5,0.0,0.0,0.0,0.0,0.38,Matches,3316967a
549,Ruslanbek Jiyanov,FW,uz Uzbekistan,25-042,2001,1,1.0,1.0,0.4,0.0,0,,0,1,1.0,2,0.0,0.0,0.0,0.0,0.0,3.01,Matches,3c181746
550,Ziyad Al Johani,MF,sa Saudi Arabia,24-248,2001,0,,,,,0,,0,0,,3,,,,,,,Matches,ac0a9132
551,Herman Johansson,MF,se Sweden,28-274,1997,0,,,,,0,,0,0,,4,,,,,,,Matches,6f864562
552,Viktor Johansson,GK,se Sweden,27-306,1998,0,,,,,0,,0,0,,4,,,,,,,Matches,e4a588a7
553,Alistair Johnston,DF,ca Canada,27-282,1998,5,450.0,90.0,100.0,5.0,5,90.0,5,0,,0,1.4,9.0,6.0,3.0,0.6,,Matches,4fb17e20
554,Alfie Jones,DFMF,ca Canada,28-283,1997,0,,,,,0,,0,0,,3,,,,,,,Matches,e5c107a1
555,Frenkie de Jong,MF,nl Netherlands,29-066,1997,4,328.0,82.0,84.1,3.6,4,82.0,1,0,,0,2.0,10.0,5.0,5.0,1.37,-0.08,Matches,1bacc518
556,Lenny Joseph,FW,ht Haiti,25-278,2000,3,117.0,39.0,43.3,1.3,1,82.0,0,2,18.0,0,0.0,2.0,3.0,-1.0,-0.77,2.17,Matches,d1828392
557,Bae Jun-ho,FWMF,kr Korea Republic,22-330,2003,0,,,,,0,,0,0,,3,,,,,,,Matches,0895ffb1
558,Edmilson Junior,MFFW,qa Qatar,31-332,1994,3,210.0,70.0,77.8,2.3,3,70.0,0,0,,0,0.33,1.0,6.0,-5.0,-2.14,2.36,Matches,620764f4
559,Vinicius Júnior,FW,br Brazil,26-005,2000,5,440.0,88.0,97.8,4.9,5,88.0,4,0,,0,2.0,10.0,4.0,6.0,1.23,1.23,Matches,7111d552
560,David Jurásek,DFMF,cz Czechia,25-344,2000,0,,,,,0,,0,0,,1,,,,,,,Matches,d7a03bf3
561,Mladen Jurkas,GK,ba Bosnia–Herz,18-283,2007,0,,,,,0,,0,0,,4,,,,,,,Matches,4cf89690
562,Elijah Just,MF,nz New Zealand,26-077,2000,3,264.0,88.0,97.8,2.9,3,88.0,2,0,,0,0.33,4.0,10.0,-6.0,-2.05,-2.05,Matches,0c295d6e
563,Musab Al Juwayr,MFFW,sa Saudi Arabia,23-027,2003,3,152.0,51.0,56.3,1.7,2,54.0,0,1,45.0,0,0.67,1.0,3.0,-2.0,-1.18,0.34,Matches,62592fc1
564,Ayoub El Kaabi,FW,ma Morocco,33-021,1993,1,69.0,69.0,12.1,0.8,1,69.0,0,0,,5,3.0,2.0,2.0,0.0,0.0,-0.72,Matches,b1bfd1d4
565,Ozan Kabak,DF,tr Türkiye,26-114,2000,1,90.0,90.0,33.3,1.0,1,90.0,1,0,,2,3.0,3.0,2.0,1.0,1.0,2.5,Matches,2d61d13a
566,Samukele Kabini,DF,za South Africa,22-124,2004,0,,,,,0,,0,0,,4,,,,,,,Matches,70b480d3
567,Hassan Kadesh,DF,sa Saudi Arabia,33-314,1992,0,,,,,0,,0,0,,3,,,,,,,Matches,7165f2e9
568,Ferdi Kadioglu,DF,tr Türkiye,26-283,1999,2,159.0,80.0,58.9,1.8,2,80.0,1,0,,1,0.0,0.0,3.0,-3.0,-1.7,-2.51,Matches,66c52a77
569,Kaku,MF,py Paraguay,31-187,1995,1,11.0,11.0,2.3,0.1,0,,0,1,11.0,4,0.0,0.0,1.0,-1.0,-8.18,-7.8,Matches,cb01ad74
570,Gaël Kakuta,FWMF,cd Congo DR,35-026,1991,0,,,,,0,,0,0,,4,,,,,,,Matches,5b1bf5e3
571,Saša Kalajdžić,FW,at Austria,29-010,1997,3,77.0,26.0,21.4,0.9,1,45.0,0,2,16.0,1,1.33,2.0,2.0,0.0,0.0,0.95,Matches,15f24fe7
572,Gédéon Kalulu,DF,cd Congo DR,28-322,1997,1,6.0,6.0,1.7,0.1,0,,0,1,6.0,3,1.0,0.0,0.0,0.0,0.0,0.0,Matches,dd211559
573,Daichi Kamada,MF,jp Japan,29-346,1996,4,329.0,82.0,91.4,3.7,4,82.0,2,0,,0,1.25,7.0,4.0,3.0,0.82,0.82,Matches,15b287da
574,Hossein Kanaanizadegan,DF,ir IR Iran,32-116,1994,2,135.0,68.0,50.0,1.5,2,68.0,1,0,,1,1.0,1.0,1.0,0.0,0.0,0.0,Matches,24353c25
