Rk,Player,Pos,Squad,Age,Club,Born,Playing Time_MP,Playing Time_Starts,Playing Time_Min,Playing Time_90s,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_CrdY,Performance_CrdR,Per 90 Minutes_Gls,Per 90 Minutes_Ast,Per 90 Minutes_G+A,Per 90 Minutes_G-PK,Per 90 Minutes_G+A-PK,Matches,-additional_-9999,Standard_Sh,Standard_SoT,Performance_TklW,Performance_Int,Playing Time_Min_play
699,Zakaria El Ouahdi,DFMF,ma Morocco,24-198,1.be Genk,2001,1,0,17,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches,a3d79d3c,0.0,0.0,0.0,0.0,17.0
700,Ayoub Al-Oui,DF,qa Qatar,21-128,1.qa Al-Gharafa Sports Club,2005,2,2,149,1.7,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches,010e5bae,0.0,0.0,0.0,2.0,149.0
701,Azzedine Ounahi,MF,ma Morocco,26-089,1.es Girona,2000,6,5,435,4.8,2,0,2,2,0,0,1,0,0.41,0.0,0.41,0.41,0.41,Matches,83299cc0,5.0,3.0,1.0,1.0,435.0
702,Mohammed Al-Owais,GK,sa Saudi Arabia,34-280,1.sa Al-Ula,1991,3,3,270,3.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches,f2c060c6,0.0,0.0,0.0,0.0,270.0
703,Elisha Owusu,MF,gh Ghana,28-252,1.fr Auxerre,1997,3,2,151,1.7,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches,e2781082,0.0,0.0,3.0,0.0,151.0
704,Mikel Oyarzabal,FW,es Spain,29-087,1.es Real Sociedad,1997,7,7,540,6.0,5,1,6,4,1,1,0,0,0.83,0.17,1.0,0.67,0.83,Matches,8c3c640c,23.0,12.0,5.0,1.0,540.0
705,Salih Özcan,MF,tr Türkiye,28-187,1.de Dortmund,1998,2,1,100,1.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches,15413fa5,0.0,0.0,1.0,4.0,100.0
706,Willian Pacho,DF,ec Ecuador,24-274,1.fr PSG,2001,4,4,360,4.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches,ecbe2839,1.0,1.0,2.0,8.0,360.0
707,Kendry Páez,MF,ec Ecuador,19-074,1.ar River Plate,2007,1,0,12,0.1,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,Matches,f3bb9f59,0.0,0.0,0.0,0.0,12.0
708,Exequiel Palacios,DF,ar Argentina,27-285,1.de Leverkusen,1998,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches,e82adcab,0.0,0.0,0.0,5.0,90.0
709,Lucas Paquetá,MF,br Brazil,28-324,1.br Flamengo,1997,4,4,233,2.6,0,1,1,0,0,0,0,0,0.0,0.39,0.39,0.0,0.39,Matches,9b6f7fd5,5.0,1.0,4.0,5.0,233.0
710,Leandro Paredes,MF,ar Argentina,32-018,1.ar Boca Juniors,1994,6,4,398,4.4,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,Matches,dff153a4,4.0,1.0,6.0,5.0,398.0
711,Thomas Partey,MF,gh Ghana,33-034,1.es Villarreal,1993,3,3,270,3.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches,529f49ab,2.0,0.0,4.0,6.0,270.0
712,Marco Pašalić,MF,hr Croatia,25-306,1.us Orlando City,2000,3,1,99,1.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches,1866b0f1,3.0,2.0,2.0,1.0,99.0
713,Mario Pašalić,MF,hr Croatia,31-158,1.it Atalanta,1995,4,1,123,1.4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches,e599253a,4.0,1.0,1.0,1.0,123.0
714,Nathan Patterson,DF,sct Scotland,24-274,1.eng Everton,2001,3,2,185,2.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches,230f0471,0.0,0.0,2.0,3.0,185.0
715,João Paulo Fernandes,DF,cv Cabo Verde,28-052,1.ro FCSB,1998,2,1,105,1.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches,afcac9da,2.0,0.0,1.0,6.0,105.0
716,Aleksandar Pavlovic,MF,de Germany,22-075,1.de Bayern Munich,2004,4,4,272,3.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,Matches,2658c82f,4.0,1.0,3.0,2.0,272.0
717,Tim Payne,DF,nz New Zealand,32-188,1.au Wellington,1994,3,3,224,2.5,0,1,1,0,0,0,0,0,0.0,0.4,0.4,0.0,0.4,Matches,4e86877c,1.0,0.0,3.0,1.0,224.0
718,Nicolás Paz,MF,ar Argentina,21-312,1.it Como,2004,2,1,71,0.8,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches,01bb93d5,1.0,0.0,2.0,0.0,71.0
719,Marcus Pedersen,DF,no Norway,26-001,1.it Torino,2000,4,1,236,2.6,1,0,1,1,0,0,0,0,0.38,0.0,0.38,0.38,0.38,Matches,596cc50e,1.0,1.0,2.0,0.0,236.0
720,Pedri,MF,es Spain,23-234,1.es Barcelona,2002,7,5,440,4.9,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,Matches,0d9b2d31,5.0,2.0,8.0,10.0,440.0
721,Nicolas Pépé,FW,ci Côte d'Ivoire,31-049,1.es Villarreal,1995,4,3,234,2.6,2,1,3,2,0,0,1,0,0.77,0.38,1.15,0.77,1.15,Matches,57e3f0c7,6.0,3.0,0.0,3.0,234.0
722,Ricardo Pepi,FW,us United States,23-189,1.nl PSV,2003,5,2,204,2.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches,a2b1ed42,5.0,0.0,1.0,1.0,204.0
723,Kojo Peprah Oppong,DF,gh Ghana,22-043,1.fr Nice,2004,2,0,49,0.5,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,Matches,37a6fdb3,0.0,0.0,0.0,0.0,49.0
