Rk,Player,Pos,Squad,Age,Club,Born,Playing Time_MP,Playing Time_Starts,Playing Time_Min,Playing Time_90s,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_CrdY,Performance_CrdR,Per 90 Minutes_Gls,Per 90 Minutes_Ast,Per 90 Minutes_G+A,Per 90 Minutes_G-PK,Per 90 Minutes_G+A-PK,Matches,-additional_-9999,Standard_Sh,Standard_SoT,Performance_TklW,Performance_Int,Playing Time_Min_play,Score
40,Jordy Alcivar,MF,ec Ecuador,26-346,1.ec Independiente,1999,1,1,0.06386066763425255,0.5,0.0,0.0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,Matches,6e98c19f,0.024390243902439025,0.0,0.05,0.0,45.0,0.016386066763425258
41,Omar Alderete,DF,py Paraguay,29-203,1.eng Sunderland,1996,4,4,0.4629898403483309,3.6,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches,bb08bce9,0.024390243902439025,0.0,0.0,0.13333333333333333,320.0,0.13926463473633285
42,Almoez Ali,FW,qa Qatar,29-332,1.qa Al Duhail SC,1996,1,0,0.026124818577648767,0.2,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches,bae045a9,0.024390243902439025,0.043478260869565216,0.0,0.0,19.0,0.011399787910922589
43,Hussein Ali,DF,iq Iraq,24-138,1.pl Pogoń Szczecin,2002,2,2,0.23367198838896952,1.8,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches,b8a919ad,0.024390243902439025,0.0,0.1,0.13333333333333333,162.0,0.1384010643444606
44,Mohanad Ali,FW,iq Iraq,26-027,1.ae Dibba Al Fujairah,2000,1,0,0.01741654571843251,0.1,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches,f929049b,0.0,0.0,0.0,0.0,13.0,0.0
45,Taha Ali,FWMF,se Sweden,28-016,1.se Malmö,1998,2,0,0.05224963715529753,0.4,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches,da4b8a4e,0.0,0.0,0.0,0.0,37.0,0.0052249637155297535
46,Khojiakbar Alijonov,MF,uz Uzbekistan,29-089,1.uz Pakhtakor Tashkent FK,1997,2,1,0.19448476052249639,1.5,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches,e53cbd7a,0.0,0.0,0.1,0.3333333333333333,135.0,0.07278180938558299
47,Ali Alipour,FW,ir IR Iran,30-248,1.ir Persepolis,1995,1,0,0.05370101596516691,0.4,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches,488ee64c,0.024390243902439025,0.0,0.05,0.06666666666666667,38.0,0.004878048780487806
48,Alisson,GK,br Brazil,33-288,1.eng Liverpool,1992,5,5,0.6516690856313498,5.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches,7a2e46a8,0.0,0.0,0.0,0.0,450.0,0.0
49,Thiago Almada,MF,ar Argentina,25-082,1.es Atlético Madrid,2001,5,3,0.3483309143686502,2.7,0.0,0.0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,Matches,27f33438,0.12195121951219512,0.08695652173913043,0.2,0.0,241.0,0.07483309143686503
